price,type,sqfeet,beds,baths,smoking_allowed,wheelchair_access,electric_vehicle_charge,comes_furnished,laundry_options,parking_options,state,pets_allowed
1220,0,1232,2,2,0,0,0,0,3,4,10,1
1375,0,1232,2,2,0,0,0,0,4,4,10,1
870,0,890,2,1,0,0,0,0,4,1,13,1
1800,1,2600,4,3,1,0,0,0,3,0,10,1
2640,2,982,2,2,0,1,0,0,4,2,34,1
685,3,900,2,1,1,0,0,0,0,1,22,1
2839,3,977,2,2,1,0,0,0,4,0,20,1
2640,2,982,2,2,0,1,0,0,4,2,34,1
1185,2,1195,3,2,1,0,0,0,4,4,28,1
625,3,0,1,1,1,0,0,0,0,4,22,1
1350,2,882,1,1,0,0,1,0,0,4,34,1
619,2,630,1,1,1,0,0,0,0,4,35,1
685,3,900,2,1,1,0,0,0,3,4,25,1
1339,3,1430,3,2,0,0,0,0,4,4,23,1
475,0,800,1,1,0,0,0,1,2,5,13,0
675,1,1500,2,1,0,0,0,0,4,2,14,0
700,1,2232,3,3,1,0,0,0,4,0,10,1
900,3,1060,2,2,0,1,0,0,4,2,23,1
1595,1,900,2,1,1,0,0,0,4,4,34,0
2640,2,982,2,2,0,1,0,0,4,2,34,1
2550,1,1230,2,2,1,0,0,0,4,4,19,1
885,2,1078,2,2,0,0,0,0,4,2,28,0
850,2,1100,2,2,0,0,0,0,4,2,28,0
700,0,750,2,1,0,0,0,0,0,4,14,1
710,2,1141,1,2,1,0,0,0,3,4,36,1
1509,1,2332,5,3,1,0,0,0,3,0,37,1
470,0,550,1,1,1,0,0,0,1,4,14,1
1740,2,1337,2,2,0,0,0,0,4,0,34,1
1740,2,1337,2,2,0,0,0,0,4,0,34,1
1495,1,1015,3,1,1,0,0,0,4,0,37,0
795,3,837,2,1,1,0,0,0,3,4,24,1
545,3,837,2,1,1,0,0,0,1,4,24,1
795,3,837,2,1,1,0,0,0,3,4,24,1
1525,2,508,1,1,0,1,0,1,4,4,37,1
675,3,1114,2,1,1,0,0,0,3,4,25,1
675,3,1000,2,1,1,0,0,0,1,4,25,1
725,3,1000,2,1,1,0,0,0,1,4,25,1
1154,3,550,1,1,1,0,0,0,4,4,27,1
945,2,1050,2,2,0,0,0,0,4,2,28,0
675,1,1000,2,1,1,0,0,0,2,4,25,1
1475,1,1900,3,2,1,0,0,0,3,4,20,0
1526,3,1070,2,1,1,0,0,0,1,4,19,1
545,3,643,1,1,1,0,0,0,1,4,24,1
545,3,643,1,1,1,0,0,0,1,4,24,1
710,2,1140,1,2,1,0,0,0,3,4,36,1
400,1,974,3,1,1,0,0,0,3,4,10,0
795,1,1300,3,2,0,0,0,0,4,0,24,1
1203,3,1088,2,2,0,0,0,0,4,0,23,1
710,2,1160,2,2,1,0,0,0,3,4,36,1
800,1,860,2,1,0,0,0,0,1,4,14,1
1425,2,1028,2,1,0,0,1,0,4,4,34,1
1385,2,1028,2,1,0,0,1,0,0,4,34,1
3100,1,2400,5,3,0,0,0,0,3,0,37,1
1800,3,855,2,2,1,0,0,0,4,4,19,1
550,3,675,2,1,0,0,0,0,1,4,23,0
2400,1,5400,4,3,1,0,0,0,0,0,37,0
700,1,1734,2,1,1,1,0,1,4,0,23,1
700,1,1734,2,1,1,1,0,1,4,0,23,1
1350,2,882,1,1,0,0,1,0,0,4,34,1
680,3,900,2,1,1,0,0,0,4,2,23,1
790,2,950,2,2,1,0,0,0,3,4,34,0
2640,2,982,2,2,0,1,0,0,4,2,34,1
565,2,650,2,1,0,0,0,0,0,4,28,1
1529,3,1040,2,1,1,0,0,0,0,4,20,1
1425,2,1028,2,1,0,0,1,0,4,4,34,1
725,3,750,1,1,0,0,0,0,0,4,29,1
925,2,821,1,1,1,0,0,0,4,4,34,1
1134,2,1499,3,2,1,0,0,0,4,2,34,1
1060,2,1106,2,1,1,0,0,0,4,2,34,1
1134,2,1499,3,2,1,0,0,0,4,2,34,1
1200,3,1690,3,2,0,0,0,0,4,4,29,1
1115,2,1253,2,2,1,0,0,0,4,2,28,1
710,2,1140,1,2,1,0,0,0,3,4,36,1
1139,3,755,2,2,1,0,0,0,4,4,27,1
1,3,800,2,2,1,0,0,0,0,4,23,1
1500,1,1463,3,1,0,0,0,0,4,2,12,0
1215,2,1503,3,2,1,0,0,0,4,2,28,1
1315,1,1500,3,2,1,0,0,0,3,0,34,1
705,3,800,2,1,0,0,0,0,3,0,12,0
1390,2,1500,3,1,1,0,0,0,3,0,34,1
1900,2,1100,2,1,0,0,0,0,4,5,31,0
1489,1,1859,3,2,1,0,0,0,3,0,20,1
710,2,1160,2,2,1,0,0,0,3,4,36,1
710,2,1160,2,2,1,0,0,0,3,4,36,1
600,3,900,2,1,0,0,0,0,0,4,23,1
945,2,1050,2,2,0,0,0,0,4,2,28,0
820,2,701,2,1,1,0,0,0,4,1,36,1
395,1,2000,4,1,1,0,0,1,4,4,34,0
835,2,820,1,1,0,0,0,0,4,2,28,0
395,1,2000,4,1,1,0,0,1,4,4,34,0
1725,1,1749,2,2,1,1,0,0,4,0,31,1
1500,1,2000,4,2,0,0,0,0,4,4,32,1
892,3,953,2,2,1,0,0,0,1,4,12,1
1200,1,1200,3,1,0,0,0,0,4,0,23,1
815,1,1450,2,2,0,0,0,0,4,1,18,0
2000,3,1700,3,1,1,0,0,0,3,5,19,1
710,2,754,1,1,0,0,0,0,0,4,28,1
1050,2,884,2,1,0,0,0,0,1,1,37,0
1125,2,884,2,1,0,0,0,0,1,1,37,0
721,3,777,2,1,1,0,0,0,1,4,26,1
1250,2,884,2,1,0,0,0,0,1,1,37,0
1645,3,970,2,1,1,0,0,0,0,4,19,1
1375,3,1400,1,1,0,0,0,1,4,4,20,0
800,0,1600,3,1,1,0,0,0,3,4,14,0
945,2,1050,2,2,0,0,0,0,4,2,28,0
810,3,960,3,2,1,0,0,0,3,4,24,1
1320,2,1028,2,1,0,0,1,0,4,4,34,1
630,3,720,2,1,0,1,0,0,0,4,22,1
810,3,960,3,2,1,0,0,0,3,4,24,1
880,3,950,2,2,1,0,0,0,0,4,29,1
1800,3,1192,2,2,0,1,0,0,4,4,19,1
575,0,700,1,1,1,0,0,0,1,4,14,0
795,0,1000,2,1,1,0,0,0,4,4,14,1
1395,2,1028,2,1,0,0,1,0,4,4,34,1
1425,2,1028,2,1,0,0,1,0,4,2,34,1
419,2,1200,4,2,0,0,0,1,4,4,37,1
1275,1,1500,3,3,1,0,0,0,4,4,14,0
710,2,1160,2,2,1,0,0,0,3,4,36,1
1265,3,1122,2,2,0,0,0,0,4,4,29,1
1034,2,679,1,1,1,0,0,0,4,5,37,0
1185,2,1195,3,2,1,0,0,0,4,4,28,1
860,2,1075,2,1,0,0,0,0,0,4,28,1
1255,2,1095,2,2,1,0,0,0,4,5,37,1
1259,2,1005,2,2,0,0,0,0,4,5,37,1
925,2,1050,2,2,0,0,0,0,4,2,28,0
700,0,700,2,1,0,0,0,0,0,1,14,0
892,3,953,2,2,1,0,0,0,1,4,12,1
1376,2,1235,2,2,0,0,0,0,4,5,37,1
1375,2,1235,2,2,0,0,0,0,4,5,37,1
710,2,1140,2,2,1,0,0,0,3,4,36,1
710,2,1160,2,2,1,0,0,0,3,4,36,1
575,0,750,1,1,0,0,0,0,1,4,14,0
1395,2,1028,2,1,0,0,1,0,4,4,34,1
721,3,777,2,1,1,0,0,0,1,4,26,1
1450,2,750,1,1,1,0,0,0,0,4,31,0
875,1,1150,3,2,0,1,0,0,4,4,24,0
800,2,1155,2,2,0,0,0,0,3,0,35,0
2075,2,850,1,1,1,0,0,0,4,4,34,0
625,1,710,1,1,0,0,0,0,2,4,18,0
1955,2,2900,2,1,0,0,0,0,4,5,31,0
775,2,700,1,1,0,0,0,1,1,5,35,0
700,1,1600,3,2,1,1,0,1,4,0,17,1
800,3,690,1,1,1,0,0,0,0,4,29,1
